127.0.0.1 - - [11/Oct/2023:10:03:18 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:23:45 -0700] "GET /scripts/FwMowdav_HVz.inc HTTP/1.1" 404 779
172.16.5.98 - - [11/Oct/2023:10:23:45 -0700] "GET /scripts/FwMowdav_HVz.shtml HTTP/1.1" 404 781
172.16.5.98 - - [11/Oct/2023:10:23:45 -0700] "GET /scripts/FwMowdav_HVz.asp HTTP/1.1" 404 779
172.16.5.98 - - [11/Oct/2023:10:23:45 -0700] "GET /scripts/FwMowdav_HVz.php HTTP/1.1" 404 779
172.16.5.98 - - [11/Oct/2023:10:23:46 -0700] "GET /scripts/FwMowdav_HVz.php3 HTTP/1.1" 404 780
172.16.5.98 - - [11/Oct/2023:10:23:46 -0700] "GET /scripts/FwMowdav_HVz.cfm HTTP/1.1" 404 779
172.16.5.98 - - [11/Oct/2023:10:23:46 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:23:46 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:23:47 -0700] "GET /ext-js/app/common/zld_product_spec.js HTTP/1.1" 404 800
172.16.5.98 - - [11/Oct/2023:10:23:47 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:23:47 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:23:47 -0700] "TRACE /Nessus183004622.html HTTP/1.1" 405 734
172.16.5.98 - - [11/Oct/2023:10:23:47 -0700] "TRACK /Nessus183004622.html HTTP/1.1" 501 730
172.16.5.98 - - [11/Oct/2023:10:23:47 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:23:47 -0700] "GET /xampp/index.php HTTP/1.1" 404 770
172.16.5.98 - - [11/Oct/2023:10:23:47 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:23:48 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:23:48 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:23:49 -0700] "GET /Wsusadmin/Errors/BrowserSettings.aspx HTTP/1.1" 404 796
172.16.5.98 - - [11/Oct/2023:10:23:49 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:23:49 -0700] "GET /nessus345678.html HTTP/1.1" 404 768
172.16.5.98 - - [11/Oct/2023:10:23:49 -0700] "GET /nessus345678.html HTTP/1.1" 404 768
172.16.5.98 - - [11/Oct/2023:10:23:49 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:23:50 -0700] "GET /SnoopServlet/ HTTP/1.1" 404 768
172.16.5.98 - - [11/Oct/2023:10:23:51 -0700] "GET /snoopservlet/ HTTP/1.1" 404 768
172.16.5.98 - - [11/Oct/2023:10:23:51 -0700] "GET /snoop/ HTTP/1.1" 404 761
172.16.5.98 - - [11/Oct/2023:10:23:51 -0700] "GET /servlet/SnoopServlet/ HTTP/1.1" 404 780
172.16.5.98 - - [11/Oct/2023:10:23:52 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:23:52 -0700] "GET /robots.txt HTTP/1.1" 404 761
172.16.5.98 - - [11/Oct/2023:10:23:52 -0700] "GET /servlet/snoopservlet/ HTTP/1.1" 404 780
172.16.5.98 - - [11/Oct/2023:10:23:52 -0700] "GET /favicon.ico HTTP/1.1" 404 762
172.16.5.98 - - [11/Oct/2023:10:23:52 -0700] "GET /servlet/snoop/ HTTP/1.1" 404 773
172.16.5.98 - - [11/Oct/2023:10:23:52 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:23:52 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:23:53 -0700] "GET /console/login/LoginForm.jsp HTTP/1.1" 404 765
172.16.5.98 - - [11/Oct/2023:10:23:53 -0700] "GET /wls-wsat/CoordinatorPortType HTTP/1.1" 404 783
172.16.5.98 - - [11/Oct/2023:10:23:53 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:23:53 -0700] "SEARCH / HTTP/1.1" 501 731
172.16.5.98 - - [11/Oct/2023:10:23:53 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:23:53 -0700] "GET /triton-help/en/first.htm HTTP/1.1" 404 783
172.16.5.98 - - [11/Oct/2023:10:23:54 -0700] "PROPFIND / HTTP/1.1" 501 733
172.16.5.98 - - [11/Oct/2023:10:23:54 -0700] "GET /usage/ HTTP/1.1" 404 761
172.16.5.98 - - [11/Oct/2023:10:23:54 -0700] "GET /webalizer/ HTTP/1.1" 404 765
172.16.5.98 - - [11/Oct/2023:10:23:54 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:23:54 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:23:54 -0700] "GET /../../../../../../../../../../../../windows/win.ini HTTP/1.1" 400 795
172.16.5.98 - - [11/Oct/2023:10:23:54 -0700] "GET /../../../../../../../../../../../../winnt/win.ini HTTP/1.1" 400 795
172.16.5.98 - - [11/Oct/2023:10:23:54 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:23:54 -0700] "GET ../../../../../../../../../../../../windows/win.ini HTTP/1.1" 400 795
172.16.5.98 - - [11/Oct/2023:10:23:55 -0700] "GET ../../../../../../../../../../../../winnt/win.ini HTTP/1.1" 400 795
172.16.5.98 - - [11/Oct/2023:10:23:55 -0700] "GET null HTTP/1.1" 400 2072
172.16.5.98 - - [11/Oct/2023:10:23:55 -0700] "OPTIONS * HTTP/1.1" 200 -
172.16.5.98 - - [11/Oct/2023:10:23:56 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:23:56 -0700] "GET null HTTP/1.1" 400 2068
172.16.5.98 - - [11/Oct/2023:10:23:56 -0700] "GET null HTTP/1.1" 400 2082
172.16.5.98 - - [11/Oct/2023:10:23:56 -0700] "GET /images HTTP/1.0" 404 757
172.16.5.98 - - [11/Oct/2023:10:23:57 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:23:57 -0700] "GET null HTTP/1.1" 400 2078
172.16.5.98 - - [11/Oct/2023:10:23:57 -0700] "GET /%5c..%5c..%5c..%5c..%5c..%5c..%5c..%5c..%5c..%5cwindows%5cwin.ini HTTP/1.1" 400 795
172.16.5.98 - - [11/Oct/2023:10:23:57 -0700] "GET /main_internet.php HTTP/1.1" 404 768
172.16.5.98 - - [11/Oct/2023:10:23:57 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:23:57 -0700] "GET /auth/login HTTP/1.1" 404 765
172.16.5.98 - - [11/Oct/2023:10:23:57 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:23:57 -0700] "GET /active.log HTTP/1.1" 404 761
172.16.5.98 - - [11/Oct/2023:10:23:57 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:23:58 -0700] "GET /%5c..%5c..%5c..%5c..%5c..%5c..%5c..%5c..%5c..%5cwinnt%5cwin.ini HTTP/1.1" 400 795
172.16.5.98 - - [11/Oct/2023:10:23:58 -0700] "GET /cfg/shortcuts HTTP/1.1" 404 768
172.16.5.98 - - [11/Oct/2023:10:23:58 -0700] "GET /hc/error/ HTTP/1.1" 404 768
172.16.5.98 - - [11/Oct/2023:10:23:58 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:23:59 -0700] "GET /%5c..%5c..%5c..%5c..%5c..%5c..%5c..%5c..%5c..%5cwindows%5cwin%2eini HTTP/1.1" 400 795
172.16.5.98 - - [11/Oct/2023:10:23:59 -0700] "GET /ui/login.action HTTP/1.1" 404 770
172.16.5.98 - - [11/Oct/2023:10:23:59 -0700] "GET /%5c..%5c..%5c..%5c..%5c..%5c..%5c..%5c..%5c..%5cwinnt%5cwin%2eini HTTP/1.1" 400 795
172.16.5.98 - - [11/Oct/2023:10:23:59 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:23:59 -0700] "GET /%2f..%2f..%2f..%2f..%2f..%2f..%2f..%2f..%2f..%2fwindows%2fwin.ini HTTP/1.1" 400 806
172.16.5.98 - - [11/Oct/2023:10:23:59 -0700] "GET /hc/admin/login/ HTTP/1.1" 404 778
172.16.5.98 - - [11/Oct/2023:10:23:59 -0700] "GET /%2f..%2f..%2f..%2f..%2f..%2f..%2f..%2f..%2f..%2fwinnt%2fwin.ini HTTP/1.1" 400 806
172.16.5.98 - - [11/Oct/2023:10:23:59 -0700] "GET null HTTP/1.1" 400 2206
172.16.5.98 - - [11/Oct/2023:10:23:59 -0700] "GET /login HTTP/1.1" 404 756
172.16.5.98 - - [11/Oct/2023:10:23:59 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:23:59 -0700] "GET null HTTP/1.1" 400 2202
172.16.5.98 - - [11/Oct/2023:10:24:00 -0700] "GET /%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/windows/win.ini HTTP/1.1" 400 795
172.16.5.98 - - [11/Oct/2023:10:24:00 -0700] "GET /qip HTTP/1.1" 404 754
172.16.5.98 - - [11/Oct/2023:10:24:00 -0700] "GET /%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/winnt/win.ini HTTP/1.1" 400 795
172.16.5.98 - - [11/Oct/2023:10:24:00 -0700] "GET /qip HTTP/1.1" 404 754
172.16.5.98 - - [11/Oct/2023:10:24:00 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:24:00 -0700] "GET null HTTP/1.1" 400 2162
172.16.5.98 - - [11/Oct/2023:10:24:00 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:24:00 -0700] "GET null HTTP/1.1" 400 2158
172.16.5.98 - - [11/Oct/2023:10:24:00 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:24:00 -0700] "GET /%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5cwindows%5cwin.ini HTTP/1.1" 400 795
172.16.5.98 - - [11/Oct/2023:10:24:01 -0700] "GET %5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5cwinnt%5cwin.ini HTTP/1.1" 400 795
172.16.5.98 - - [11/Oct/2023:10:24:01 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:24:01 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:24:01 -0700] "GET /.../.../.../.../.../.../.../.../.../windows/win.ini HTTP/1.1" 404 842
172.16.5.98 - - [11/Oct/2023:10:24:01 -0700] "GET /.../.../.../.../.../.../.../.../.../winnt/win.ini HTTP/1.1" 404 840
172.16.5.98 - - [11/Oct/2023:10:24:01 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:24:01 -0700] "GET null HTTP/1.1" 400 2094
172.16.5.98 - - [11/Oct/2023:10:24:01 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:24:01 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:24:01 -0700] "GET null HTTP/1.1" 400 2090
172.16.5.98 - - [11/Oct/2023:10:24:02 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:24:02 -0700] "GET /..../..../..../..../..../..../..../..../..../windows/win.ini HTTP/1.1" 404 851
172.16.5.98 - - [11/Oct/2023:10:24:02 -0700] "GET /..../..../..../..../..../..../..../..../..../winnt/win.ini HTTP/1.1" 404 849
172.16.5.98 - - [11/Oct/2023:10:24:02 -0700] "GET /portal/diag/index.jsp HTTP/1.1" 404 759
172.16.5.98 - - [11/Oct/2023:10:24:02 -0700] "GET null HTTP/1.1" 400 2112
172.16.5.98 - - [11/Oct/2023:10:24:02 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:24:02 -0700] "GET null HTTP/1.1" 400 2108
172.16.5.98 - - [11/Oct/2023:10:24:02 -0700] "GET /menu.htm HTTP/1.1" 404 759
172.16.5.98 - - [11/Oct/2023:10:24:02 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:24:03 -0700] "GET /././././././../../../../../windows/win.ini HTTP/1.1" 400 795
172.16.5.98 - - [11/Oct/2023:10:24:03 -0700] "GET /login HTTP/1.1" 404 756
172.16.5.98 - - [11/Oct/2023:10:24:03 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:24:03 -0700] "GET / HTTP/1.1" 404 751
172.16.5.98 - - [11/Oct/2023:10:24:03 -0700] "GET /././././././../../../../../winnt/win.ini HTTP/1.1" 400 795
172.16.5.98 - - [11/Oct/2023:10:24:03 -0700] "HEAD /someunexistantstuff1013219319764565760.html HTTP/1.1" 404 -
172.16.5.98 - - [11/Oct/2023:10:24:03 -0700] "HEAD /someunexistantstuff.exe HTTP/1.1" 404 -
172.16.5.98 - - [11/Oct/2023:10:24:03 -0700] "GET null HTTP/1.1" 400 2070
172.16.5.98 - - [11/Oct/2023:10:24:03 -0700] "GET /someunexistantantsutff1881839934637053039.html HTTP/1.1" 404 797
172.16.5.98 - - [11/Oct/2023:10:24:03 -0700] "GET null HTTP/1.1" 400 2066
